"Location", "Year", "Value"
"Total", 2007, 3213
"Rural", 2007, 1257
"Urban", 2007, 1942
"Unknown", 2007, 14
"Total", 2008, 2980
"Rural", 2008, 1161
"Urban", 2008, 1809
"Unknown", 2008, 10
"Total", 2009, 2560
"Rural", 2009, 1035
"Urban", 2009, 1498
"Unknown", 2009, 27
"Total", 2010, 2444
"Rural", 2010, 946
"Urban", 2010, 1482
"Unknown", 2010, 16
"Total", 2011, 2400
"Rural", 2011, 968
"Urban", 2011, 1420
"Unknown", 2011, 12
"Total", 2012, 2431
"Rural", 2012, 873
"Urban", 2012, 1555
"Unknown", 2012, 3
"Total", 2013, 2403
"Rural", 2013, 969
"Urban", 2013, 1434
"Unknown", 2013, 0
"Total", 2014, 2494
"Rural", 2014, 634
"Urban", 2014, 1860
"Unknown", 2014, 0
"Total", 2015, 2938
"Rural", 2015, 859
"Urban", 2015, 1972
"Unknown", 2015, 107
"Total", 2016, 3174
"Rural", 2016, 1388
"Urban", 2016, 1757
"Unknown", 2016, 29
